    Problem           Branch              Search           Time      Size   
    40-40-9       Pseudocost_Branching  Best_First       2.211e+01   611   
    40-40-9       Pseudocost_Branching  Best_Estimate    6.044e+01   1223  
    40-45-0       Most_Fraction         Depth_First      6.158e+01   1187  
    40-45-0       Most_Fraction         Best_First       4.815e+01   1045  
    40-45-0       Most_Fraction         Best_Estimate    4.673e+01   1045  
    40-45-0       Fixed_Branching       Depth_First      1.121e+02   2423  
    40-45-0       Fixed_Branching       Best_First       8.115e+01   1875  
    40-45-0       Fixed_Branching       Best_Estimate    8.032e+01   1875  
    40-45-0       Pseudocost_Branching  Depth_First      2.818e+01   613   
    40-45-0       Pseudocost_Branching  Best_First       2.740e+01   531   
    40-45-0       Pseudocost_Branching  Best_Estimate    5.008e+01   1095  
    50-45-1       Most_Fraction         Depth_First      1.538e+01   337   
    50-45-1       Most_Fraction         Best_First       1.081e+01   199   
    50-45-1       Most_Fraction         Best_Estimate    1.819e+01   340   
    50-45-1       Fixed_Branching       Depth_First      8.732e+01   1675  
    50-45-1       Fixed_Branching       Best_First       2.814e+01   593   
    50-45-1       Fixed_Branching       Best_Estimate    4.840e+01   825   
    50-45-1       Pseudocost_Branching  Depth_First      2.852e+01   583   
    50-45-1       Pseudocost_Branching  Best_First       6.110e+00   137   
    50-45-1       Pseudocost_Branching  Best_Estimate    8.470e+00   195   
    50-50-2       Most_Fraction         Depth_First      2.928e+01   619   
    50-50-2       Most_Fraction         Best_First       1.448e+01   287   
    50-50-2       Most_Fraction         Best_Estimate    1.375e+01   287   
    50-50-2       Fixed_Branching       Depth_First      3.443e+01   717   
    50-50-2       Fixed_Branching       Best_First       2.605e+01   527   
    50-50-2       Fixed_Branching       Best_Estimate    2.990e+01   527   
    50-50-2       Pseudocost_Branching  Depth_First      1.484e+01   259   
    50-50-2       Pseudocost_Branching  Best_First       9.161e+00   159   
    50-50-2       Pseudocost_Branching  Best_Estimate    1.446e+01   257   
    50-55-3       Most_Fraction         Depth_First      1.590e+01   291   
    50-55-3       Most_Fraction         Best_First       2.016e+01   291   
    50-55-3       Most_Fraction         Best_Estimate    1.789e+01   304   
    50-55-3       Fixed_Branching       Depth_First      1.552e+01   245   
    50-55-3       Fixed_Branching       Best_First       1.309e+01   231   
    50-55-3       Fixed_Branching       Best_Estimate    1.368e+01   273   
    50-55-3       Pseudocost_Branching  Depth_First      3.215e+01   491   
    50-55-3       Pseudocost_Branching  Best_First       1.101e+01   167   
    50-55-3       Pseudocost_Branching  Best_Estimate    1.755e+01   283   
    60-55-4       Most_Fraction         Depth_First      3.147e+02   5061  
    60-55-4       Most_Fraction         Best_First       9.264e+01   1487  
    60-55-4       Most_Fraction         Best_Estimate    1.155e+02   1838  
    60-55-4       Fixed_Branching       Depth_First      8.097e+02  13511  
    60-55-4       Fixed_Branching       Best_First       1.727e+02   3131  
    60-55-4       Fixed_Branching       Best_Estimate    8.757e+02  15880  
    60-55-4       Pseudocost_Branching  Depth_First      4.652e+02   8559  
    60-55-4       Pseudocost_Branching  Best_First       3.374e+01   611   
    60-55-4       Pseudocost_Branching  Best_Estimate    4.669e+01   865   
    60-60-5       Most_Fraction         Depth_First      1.385e+03  23789  
